Tuition Fees For Bachelor of Business Administration Management,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Business Administration Accounting & Finance,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Business Administration Procurement & Logistics,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Business Administration Banking & Finance,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Business Administration Human Resource Management,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Business Administration Marketing,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Business Administration Entrepreneurship,"1,315,000","1,252,000","1,442,000"
Tuition Fees For Bachelor of Public Administration and Management,"1,284,000","1,222,000",
Tuition Fees For Bachelor of Arts in International Relations & Diplomatic Studies,"1,284,000","1,222,000",
Tuition Fees For Bachelor of Mass Communication & Journalism(Public Relations/Mass Communication),"1,284,000","1,222,000",
Tuition Fees For Bachelor of Enviromental Health Science,"0","0","1,725,000"
Tuition Fees For Bachelor of Public Health,"1,725,000","1,642,000","1,894,000"
Tuition Fees For Bachelor of Information Technology,"1,617,000","1,539,000",
Tuition Fees For Bachelor of Science in Computer Science,"1,617,000",
Tuition Fees For Bachelor of Science in Software Engineering,"1,617,000",
Tuition Fees For Bachelor of Laws,"2,307,000","2,533,000"
Tuition Fees For Master of Laws,"2,708,000","2,848,000"
Tuition Fees For Master of Laws-Taxation,"2,708,000",
Tuition Fees For Masters of Public Health,"2,192,000","2,304,000"
Tuition Fees For Masters of Information Technology,"2,192,000",
Tuition Fees For Master of Business Administration,"2,083,000","2,190,000"
Tuition Fees For Master of Business Administration  Accounting & Finance,"2,083,000","2,190,000"
Tuition Fees For Master of Business Administration  Procurement & Supply Chain Management,"2,083,000","2,190,000"
Tuition Fees For Master of Business Administration  Entrepreneurship,"2,083,000","2,190,000"
Tuition Fees For Master of Business Administration  Human Resource Management,"2,083,000","2,190,000"
Tuition Fees For Master of Project Planning and Management,"2,083,000","2,190,000"
Tuition Fees For Master of Education Management,"1,626,400","1,712,000"
Tuition Fees For Master of Arts in International Relations and Diplomatic Studies,"1,994,000","2,097,000","0"
Tuition Fees For Master of Security Studies,"1,994,000","2,097,000"
Tuition Fees For Master in Business Administration,"830,000","790,000",
Tuition Fees For Master in Information Technology,"830,000","790,000",
Tuition Fees For Master in Paralegal Studies,"936,000",
Tuition Fees For Higher Education Certificate- Humanities,1 year,"850,000",
Tuition Fees For Higher Education Certificate-Physical Sciences,1 year,"1,010,000",
Tuition Fees For Higher Education Certificate-Biological Sciences,"1,010,000",
Tuition Fees For Short Course in English as a Second Language,"600,000"
